South Park (1997),Stan Marsh,ISFP,2013
South Park (1997),Eric Cartman,ENTJ,2859
South Park (1997),Kenny McCormick,ESTP,2337
South Park (1997),Kyle Broflovski,INFJ,2062
South Park (1997),Tweek Tweak,ENFP,1948
South Park (1997),Craig Tucker,ISTP,2185
South Park (1997),Leopold “Butters” Stotch,INFP,1551
South Park (1997),Wendy Testaburger,ENFJ,801
South Park (1997),"Randy Marsh ""Karen""",ENFP,697
South Park (1997),Herbert Garrison,ESTP,456
South Park (1997),Jimmy Valmer,ENTP,431
South Park (1997),Sheila Broflovski,ESFJ,312
South Park (1997),Clyde Donovan,ESFP,326
South Park (1997),Chef,ENFJ,298
South Park (1997),Leopold “Vic Chaos” Stotch,INFP,221
South Park (1997),Heidi Turner,ISFJ,303
South Park (1997),Liane Cartman,ISFJ,291
South Park (1997),Bebe Stevens,ESFP,286
South Park (1997),Mysterion,INTJ,201
South Park (1997),Damien Thorn,INTJ,233
South Park (1997),Gerald Broflovski,INTP,204
South Park (1997),Henrietta Biggle,INFP,242
South Park (1997),Tolkien “Token” Black,ISTJ,215
South Park (1997),Ike Broflovski,INTP,170
South Park (1997),PC Principal,ESTJ,225
South Park (1997),Mr. Mackey,ISFJ,149
South Park (1997),Pip Pirrup,ISFJ,197
South Park (1997),Michael,ISTP,133
South Park (1997),Shelly Marsh,ESTJ,171
South Park (1997),Nathan,INTJ,147
South Park (1997),Towelie,ENTP,140
South Park (1997),Scott Tenorman,ENTP,132
South Park (1997),"Georgie ""Firkle"" Smith",INTJ,111
South Park (1997),Scott Malkinson,ISFP,150
South Park (1997),Professor Chaos,INFP,108
South Park (1997),Timmy Burch,ENFP,128
South Park (1997),Pete Thelman,ISFP,107
South Park (1997),Sharon Marsh,ISTJ,111
South Park (1997),Christophe “The Mole”,ISTP,91
South Park (1997),Stephen Stotch,ESTJ,131
South Park (1997),Jesus Christ,INFJ,86
South Park (1997),Satan,ISFJ,92
South Park (1997),Rabbi Cartman,ENTJ,108
South Park (1997),Jenkins,INTP,85
South Park (1997),Stuart McCormick,ISTP,68
South Park (1997),Leslie Meyers,INFJ,98
South Park (1997),Gary Harrison,ENFJ,92
South Park (1997),Kyle Schwartz,ISTJ,86
South Park (1997),Mr. Slave,ESFP,83
South Park (1997),Karen McCormick,INFP,61
