Batman Arkham Series,Bruce Wayne “Batman” (Rocksteady Series),INTJ,380
Batman Arkham Series,The Joker,ENTP,248
Batman Arkham Series,Harley Quinn,ESFP,178
Batman Arkham Series,"Jonathan Crane ""Scarecrow""",INTJ,155
Batman Arkham Series,"Jason Todd ""Arkham Knight""",ISTP,146
Batman Arkham Series,Edward Nygma “The Riddler”,INTP,128
Batman Arkham Series,Selina Kyle “Catwoman”,ESTP,108
Batman Arkham Series,"Dick Grayson ""Nightwing""",ENTP,58
Batman Arkham Series,Deathstroke,ISTP,53
Batman Arkham Series,Mr. Freeze,INFJ,60
Batman Arkham Series,Ra’s Al Ghul,INFJ,42
Batman Arkham Series,"Bruce Wayne ""Batman"" (Arkham Origins)",INTJ,87
Batman Arkham Series,Poison Ivy,INFJ,61
Batman Arkham Series,Bane,ISTP,39
Batman Arkham Series,Hugo Strange,INTJ,54
Batman Arkham Series,Two-Face,ESTJ,30
Batman Arkham Series,"Oswald Cobblepot ""The Penguin""",ESTJ,45
Batman Arkham Series,Alfred Pennyworth,ISFJ,43
Batman Arkham Series,Tim Drake “Robin”,INTP,48
Batman Arkham Series,James Gordon,ISTJ,31
Batman Arkham Series,Deadshot,ISTP,30
Batman Arkham Series,Mad Hatter,ENFP,32
Batman Arkham Series,"Roman Sionis ""Black Mask""",ENTJ,34
Batman Arkham Series,Barbara Gordon “Oracle”,INFJ,33
Batman Arkham Series,Waylon Jones “Killer Croc”,ISTP,20
Batman Arkham Series,Azrael,ISTJ,32
Batman Arkham Series,"Lazlo Valentin ""Professor Pyg""",ENFP,18
Batman Arkham Series,Clayface,ISFP,15
Batman Arkham Series,Victor Zsasz,ISFP,22
Batman Arkham Series,Lady Shiva,ISTP,11
Batman Arkham Series,Talia Al Ghul,ENTJ,18
Batman Arkham Series,Thomas Elliot “Hush”,ENTJ,16
Batman Arkham Series,Aaron Cash,ISTJ,10
Batman Arkham Series,Warden Quincy Sharp,ESTJ,11
Batman Arkham Series,"Lonnie Machin ""Anarky""",INFJ,11
Batman Arkham Series,Johnny Charisma,ESFP,9
Batman Arkham Series,Amadeus Arkham,INFJ,15
Batman Arkham Series,Christina Bell,ENFP,9
Batman Arkham Series,Jonathan Crane “Scarecrow” (Arkham Asylum),INTP,10
Batman Arkham Series,Copperhead,ESTP,9
Batman Arkham Series,Dr. Penelope Young,INTP,9
Batman Arkham Series,Albert King,ESTP,6
Batman Arkham Series,Henry Adams,ENTP,4
Batman Arkham Series,Clark Kent “Superman”,ISFJ,5
Batman Arkham Series,George “Digger” Harkness “Captain Boomerang” (Kill the Justice League),ESTP,4
Batman Arkham Series,Deacon Blackfire,ENFJ,6
Batman Arkham Series,Militia,ESTJ,4
Batman Arkham Series,Amanda Waller,ISTJ,5
Batman Arkham Series,Kirk Langstrom “Man-Bat”,INTP,1
Batman Arkham Series,"Garfield Lynns ""Firefly""",ISFP,2
