Coraline (2009),Coraline Jones,ISFP,3827
Coraline (2009),The Beldam “Other Mother”,ENFJ,1308
Coraline (2009),The Cat,ISTP,913
Coraline (2009),"Wyborne ""Wybie"" Lovat",ENTP,837
Coraline (2009),Mel Jones,ISTJ,534
Coraline (2009),Charlie Jones,INTP,482
Coraline (2009),Other Wybie,INFP,265
Coraline (2009),Other Father,ESFJ,254
Coraline (2009),Miriam Forcible,ESFP,138
Coraline (2009),Sergei Alexander Bobinsky,ESTP,135
Coraline (2009),April Spink,ENFJ,121
Coraline (2009),Other Bobinsky,ESTP,81
Coraline (2009),Mrs. Lovat,ISFJ,63
Coraline (2009),Ghost Boy,INFP,57
Coraline (2009),Other Spink,ESFP,62
Coraline (2009),Other Forcible,ESFP,61
Coraline (2009),Sweet Ghost Girl,ISFJ,49
Coraline (2009),Tall Ghost Girl,ENFJ,48
Coraline (2009),The Scottish Terriers,ENFP,12
