Mulan (1998),花木蘭 (Fa Mulan),ISTP,2553
Mulan (1998),Mushu,ENTP,889
Mulan (1998),Li Shang,ESTJ,929
Mulan (1998),善於 (Shan Yu),ENTJ,271
Mulan (1998),及金寶 (Chien Po),ISFJ,235
Mulan (1998),阿堯 (Yao),ESTP,215
Mulan (1998),花祖母 (Grandmother Fa),ENFP,175
Mulan (1998),中國皇帝 / 皇上 (The Emperor of China),INFJ,173
Mulan (1998),賜福 (Chi-Fu),ISTJ,190
Mulan (1998),Ling,ESFP,155
Mulan (1998),Cri-Kee,ISFJ,112
Mulan (1998),Fa Zhou,ESFJ,99
Mulan (1998),Princess Mei,INFP,87
Mulan (1998),Princess Ting-Ting,ISTJ,84
Mulan (1998),Princess Su,ESFP,89
Mulan (1998),Khan,INTJ,48
Mulan (1998),The Matchmaker,ESTJ,59
Mulan (1998),Fa Li,ISFJ,40
Mulan (1998),First Ancestor Fa,ENFJ,23
Mulan (1998),"""Little Brother""",ENFP,19
Mulan (1998),Fa Deng,INFJ,6
