Rise of the Guardians (2012),Jack Frost,ESTP,1015
Rise of the Guardians (2012),E. Aster Bunnymund,ISTJ,191
Rise of the Guardians (2012),Pitch Black,ENTJ,183
Rise of the Guardians (2012),Sandy the Sandman,INFP,179
Rise of the Guardians (2012),Toothiana,ESFJ,183
Rise of the Guardians (2012),Nicholas St. North,ENFJ,130
Rise of the Guardians (2012),The Man in the Moon,INFJ,64
Rise of the Guardians (2012),Jack's Sister,ENTP,55
Rise of the Guardians (2012),Jamie Bennett,ENFP,38
Rise of the Guardians (2012),Baby Tooth,ENFJ,28
Rise of the Guardians (2012),Sophie Bennett,ESFP,22
Rise of the Guardians (2012),Cupcake,ISTP,23
