The Incredibles (Franchise),Bob Parr “Mr. Incredible”,ESFP,852
The Incredibles (Franchise),Helen Parr “Elastigirl”,ESTJ,1048
The Incredibles (Franchise),Dash Parr,ESTP,626
The Incredibles (Franchise),Violet Parr,INFP,1564
The Incredibles (Franchise),Buddy Pine “Syndrome”,ENFP,865
The Incredibles (Franchise),Edna “E” Mode,ENTJ,844
The Incredibles (Franchise),Evelyn Deavor “Screenslaver”,INTJ,386
The Incredibles (Franchise),Mirage,INFJ,355
The Incredibles (Franchise),Lucius Best “Frozone”,ESTP,367
The Incredibles (Franchise),Jack-Jack Parr,ENFP,199
The Incredibles (Franchise),Tony Rydinger,ISFJ,122
The Incredibles (Franchise),Winston Deavor,ENFJ,131
The Incredibles (Franchise),Karen Fields “Voyd”,ENFP,123
The Incredibles (Franchise),Kari McKeen,ENFJ,97
The Incredibles (Franchise),Gilbert Huph,ESTJ,115
The Incredibles (Franchise),Bernie Kropp,ESTJ,72
The Incredibles (Franchise),Rick Dicker,ISTJ,49
The Incredibles (Franchise),The Underminer,ESTJ,33
The Incredibles (Franchise),Bomb Voyage,ISFP,29
The Incredibles (Franchise),Simon J. Paladino “Gazerbeam”,ISFJ,11
The Incredibles (Franchise),Macroburst,ENFP,7
The Incredibles (Franchise),Gamma Jack,ESFP,9
The Incredibles (Franchise),Everseer,ESTJ,12
The Incredibles (Franchise),Chad Brentley,ESTP,6
The Incredibles (Franchise),Phylange,INTP,7
The Incredibles (Franchise),Principal John Walker,ESFJ,6
The Incredibles (Franchise),Meta Man,ESFJ,6
The Incredibles (Franchise),Honey Best,ESTJ,2
