Zootopia (2016),Judy Hopps,ENFJ,2165
Zootopia (2016),Nick Wilde,ENTP,2588
Zootopia (2016),Chief Bogo,ESTJ,250
Zootopia (2016),Dawn Bellwether,INFJ,613
Zootopia (2016),Benjamin Clawhauser,ESFP,207
Zootopia (2016),Bonnie Hopps,ESFJ,142
Zootopia (2016),Flash Slothmore,ENTP,155
Zootopia (2016),Leodore Lionheart,ESFJ,114
Zootopia (2016),Finnick,ISTP,134
Zootopia (2016),Mr. Big,ENTJ,131
Zootopia (2016),Yax,ISFP,102
Zootopia (2016),Gideon Grey,ESTP,90
Zootopia (2016),Gazelle,ESFP,92
Zootopia (2016),Stu Hopps,ESFP,69
Zootopia (2016),Duke Weaselton,ISTP,40
Zootopia (2016),Fru Fru,ESFP,43
Zootopia (2016),Mrs. Otterton,ISFJ,40
Zootopia (2016),Travis,ESTP,25
Zootopia (2016),Doug Ramses,INTP,26
Zootopia (2016),The Woodchuck Bully,ESTP,18
Zootopia (2016),Mr. Manchas,ISFJ,14
Zootopia (2016),Woolter,INTJ,9
Zootopia (2016),Major Friedkin,ESTJ,7
Zootopia (2016),Jesse,INTP,8
Zootopia (2016),Gary,ISFJ,7
Zootopia (2016),Junior Ranger Scouts Pack 914,ISTJ,7
Zootopia (2016),Nangi,ISTP,3
Zootopia (2016),Dr. Badger,INTP,6
